"","Date","docid_","docname_","segid_","Statement Length","New Date","Topic 1","Topic 2","X","New.Date","sumscore","relevance","tadle_score","hawk","dove","lima_score","sent_x_topic"
"1",2008-01-22,"text1","text1",1,252,2008-01-22,0.000110228535281554,0.999889771464718,1,"2008-01-22",-3,7,-42.8571428571429,13,0,2,-0.00472408008349517
"2",2008-01-30,"text2","text2",1,250,2008-01-30,9.03003998224593e-05,0.999909699600178,2,"2008-01-30",-4,8,-50,13,0,2,-0.00451501999112297
"3",2008-03-11,"text3","text3",1,361,2008-03-11,0.000141443236165459,0.999858556763835,3,"2008-03-11",0,4,0,9,0,2,0
"4",2008-03-18,"text4","text4",1,288,2008-03-18,7.61214336519762e-05,0.999923878566348,4,"2008-03-18",-3,11,-27.2727272727273,26,0,2,-0.00207603909959935
"5",2008-04-30,"text5","text5",1,304,2008-04-30,7.02792451039946e-05,0.999929720754896,5,"2008-04-30",-2,11,-18.1818181818182,29,0,2,-0.00127780445643627
"6",2008-06-25,"text6","text6",1,248,2008-06-25,8.42967819972803e-05,0.999915703218003,6,"2008-06-25",2,10,20,27,0,2,0.00168593563994561
"7",2008-08-05,"text7","text7",1,243,2008-08-05,8.60572472360113e-05,0.999913942752764,7,"2008-08-05",2,10,20,29,0,2,0.00172114494472023
"8",2008-09-16,"text8","text8",1,221,2008-09-16,0.000103643918807597,0.999896356081192,8,"2008-09-16",-1,9,-11.1111111111111,25,0,2,-0.00115159909786219
"9",2008-10-08,"text9","text9",1,383,2008-10-08,7.68310815470279e-05,0.999923168918453,9,"2008-10-08",-7,10,-70,28,0,2,-0.00537817570829195
"10",2008-10-29,"text10","text10",1,286,2008-10-29,8.32326058668918e-05,0.999916767394133,10,"2008-10-29",-6,8,-75,23,0,2,-0.00624244544001689
"11",2008-12-16,"text11","text11",1,399,2008-12-16,6.79610696780008e-05,0.999932038930322,11,"2008-12-16",-6,13,-46.1538461538462,27,0,2,-0.00313666475436927
"12",2009-01-28,"text12","text12",1,474,2009-01-28,6.00394190856176e-05,0.999939960580914,12,"2009-01-28",-2,16,-12.5,37,0,2,-0.00075049273857022
"13",2009-03-18,"text13","text13",1,419,2009-03-18,6.08147416236833e-05,0.999939185258376,13,"2009-03-18",-3,13,-23.0769230769231,32,1,1.93939393939394,-0.00140341711439269
